Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,76.740000,-112.310000,0.000000,top
C2,47µF 10V,C_1206_3216Metric,129.170000,-135.170000,0.000000,top
C3,100n,C_0402_1005Metric,115.639000,-136.220000,270.000000,top
C4,100n,C_0402_1005Metric,108.473000,-136.220000,270.000000,top
C5,100n,C_0402_1005Metric,40.700000,-99.102000,90.000000,top
C6,100n,C_0402_1005Metric,100.258000,-123.845400,180.000000,top
C7,100n,C_0402_1005Metric,120.176600,-113.455600,90.000000,top
C8,20p,C_0402_1005Metric,133.165000,-113.406000,270.000000,top
C9,20p,C_0402_1005Metric,126.942000,-113.378000,90.000000,top
C10,1nF,C_1206_3216Metric,162.560000,-103.378000,270.000000,top
C11,1nF,C_1206_3216Metric,154.047500,-112.945000,180.000000,top
C12,100n,C_0402_1005Metric,111.718400,-113.453000,90.000000,top
C13,1nF,C_1206_3216Metric,173.228000,-117.856000,270.000000,top
C14,1nF,C_1206_3216Metric,173.228000,-108.712000,270.000000,top
C15,100n,C_0402_1005Metric,128.963000,-120.645000,0.000000,top
FB1,Ferrite_Bead,L_0805_2012Metric,180.721000,-125.857000,270.000000,top
R1,27k,R_0402_1005Metric,100.258000,-128.417400,0.000000,top
R2,1M,R_0402_1005Metric,126.053000,-115.311000,135.000000,top
R3,200R,R_0402_1005Metric,157.861000,-116.459000,270.000000,top
R4,1k,R_0402_1005Metric,180.971500,-96.943000,270.000000,top
R5,1k,R_0402_1005Metric,179.616500,-96.946500,270.000000,top
R6,10k,R_0402_1005Metric,115.630000,-113.464999,90.000000,top
R7,10k,R_0402_1005Metric,149.860000,-104.775000,90.000000,top
R8,10k,R_0402_1005Metric,156.210000,-104.775000,90.000000,top
R9,10k,R_0402_1005Metric,118.110000,-104.690000,90.000000,top
R10,10k,R_0402_1005Metric,115.570000,-104.648000,90.000000,top
R11,10k,R_0402_1005Metric,113.030000,-104.690000,90.000000,top
R12,10k,R_0402_1005Metric,110.490000,-104.690000,90.000000,top
R13,10k,R_0402_1005Metric,107.950000,-104.692000,90.000000,top
R14,10k,R_0402_1005Metric,97.850000,-104.690000,90.000000,top
R15,10k,R_0402_1005Metric,95.310000,-104.690000,90.000000,top
R16,10k,R_0402_1005Metric,92.770000,-104.690000,90.000000,top
R17,10k,R_0402_1005Metric,90.230000,-104.690000,90.000000,top
R18,10k,R_0402_1005Metric,143.570000,-104.690000,90.000000,top
R19,10k,R_0402_1005Metric,141.030000,-104.690000,90.000000,top
R20,10k,R_0402_1005Metric,133.410000,-104.690000,90.000000,top
R21,10k,R_0402_1005Metric,130.810000,-104.775000,90.000000,top
R22,10k,R_0402_1005Metric,128.330000,-104.775000,90.000000,top
T1,13F-39MNL,SOIC-16W-12_7.5x10.3mm_P1.27mm,165.100000,-113.284000,0.000000,top
U1,RTL8019AS,LQFP-14x20mm_P0.5mm,114.648000,-124.835000,0.000000,top
U2,AT93C46DN,SOIC-8_3.9x4.9mm_P1.27mm,71.840000,-109.800000,180.000000,top
Y1,20MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,130.117000,-113.533000,270.000000,top
