Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,103.505000,-112.649000,0.000000,top
C2,47µF 10V,C_1206_3216Metric,51.715401,-74.489601,0.000000,top
C3,100n,C_0402_1005Metric,112.141000,-146.812000,270.000000,top
C4,100n,C_0402_1005Metric,103.886000,-146.558000,225.000000,top
C5,100n,C_0402_1005Metric,77.823401,-119.574601,0.000000,top
C6,100n,C_0402_1005Metric,94.869000,-132.941000,90.000000,top
C7,100n,C_0402_1005Metric,118.364000,-122.809000,0.000000,top
C8,20p,C_0402_1005Metric,129.667000,-123.571000,270.000000,top
C9,20p,C_0402_1005Metric,123.444000,-123.543000,90.000000,top
C10,1nF,C_1206_3216Metric,162.560000,-103.378000,270.000000,top
C11,1nF,C_1206_3216Metric,162.560000,-123.190000,270.000000,top
C12,100n,C_0402_1005Metric,108.839000,-122.809000,0.000000,top
C13,1nF,C_1206_3216Metric,173.228000,-117.856000,270.000000,top
C14,1nF,C_1206_3216Metric,173.228000,-108.712000,270.000000,top
C15,100n,C_0402_1005Metric,126.365000,-130.810000,0.000000,top
FB1,Ferrite_Bead,L_0805_2012Metric,180.721000,-125.857000,270.000000,top
R1,27k,R_0402_1005Metric,123.114000,-101.390000,0.000000,top
R2,1M,R_0402_1005Metric,122.555000,-125.476000,135.000000,top
R3,200R,R_0402_1005Metric,157.861000,-116.459000,270.000000,top
R4,1k,R_0402_1005Metric,177.292000,-130.810000,0.000000,top
R5,1k,R_0402_1005Metric,177.292000,-127.889000,0.000000,top
R6,10k,R_0402_1005Metric,57.545401,-71.259601,0.000000,top
R7,10k,R_0402_1005Metric,71.945401,-56.349601,0.000000,top
R8,10k,R_0402_1005Metric,57.545401,-73.249601,0.000000,top
R9,10k,R_0402_1005Metric,74.855401,-54.359601,0.000000,top
R10,10k,R_0402_1005Metric,74.855401,-56.349601,0.000000,top
R11,10k,R_0402_1005Metric,74.855401,-60.329601,0.000000,top
R12,10k,R_0402_1005Metric,71.945401,-58.339601,0.000000,top
R13,10k,R_0402_1005Metric,77.765401,-56.349601,0.000000,top
R14,10k,R_0402_1005Metric,80.675401,-54.359601,0.000000,top
R15,10k,R_0402_1005Metric,71.945401,-62.319601,0.000000,top
R16,10k,R_0402_1005Metric,77.765401,-54.359601,0.000000,top
R17,10k,R_0402_1005Metric,71.945401,-60.329601,0.000000,top
R18,10k,R_0402_1005Metric,74.855401,-58.339601,0.000000,top
R19,10k,R_0402_1005Metric,55.995401,-75.239601,0.000000,top
R20,10k,R_0402_1005Metric,60.455401,-73.249601,0.000000,top
R21,10k,R_0402_1005Metric,60.455401,-71.259601,0.000000,top
R22,10k,R_0402_1005Metric,71.945401,-54.359601,0.000000,top
T1,13F-39MNL,SOIC-16W-12_7.5x10.3mm_P1.27mm,165.100000,-113.284000,0.000000,top
U1,RTL8019AS,LQFP-14x20mm_P0.5mm,111.150000,-135.000000,0.000000,top
U2,AT93C46DN,SOIC-8_3.9x4.9mm_P1.27mm,102.235000,-118.237000,0.000000,top
Y1,20MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,126.619000,-123.698000,270.000000,top
